"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Lawrence","Alabama","12-05-2022","Lawrence 01","WOAH Non-Poultry","460"
"Buena Vista","Iowa","12-05-2022","Buena Vista 05","Commercial Turkey Meat Bird","40700"
"Charles Mix","South Dakota","12-05-2022","Charles Mix 06","Commercial Turkey Meat Bird","34100"
"Clark","South Dakota","12-05-2022","Clark 07","Commercial Turkey Meat Bird","24300"
"Larimer","Colorado","12-06-2022","Larimer 02","WOAH Non-Poultry","2"
"Harrison","Missouri","12-06-2022","Harrison 01","WOAH Non-Poultry","30"
"Pawnee","Oklahoma","12-06-2022","Pawnee 01","WOAH Non-Poultry","30"
"Denton","Texas","12-06-2022","Denton 01","WOAH Non-Poultry","40"
"Lamoille","Vermont","12-06-2022","Lamoille 01","WOAH Non-Poultry","50"
"Cherokee","Iowa","12-07-2022","Cherokee 02","Commercial Turkey Meat Bird","105000"
"Sac","Iowa","12-07-2022","Sac 02","Commercial Turkey Meat Bird","40000"
"Kingsbury","South Dakota","12-07-2022","Kingsbury 04","WOAH Non-Poultry","70"
"Dodge","Minnesota","12-08-2022","Dodge 02","Commercial Turkey Meat Bird","10000"
"Dade","Missouri","12-08-2022","Dade 02","WOAH Non-Poultry","30"
"Hamlin","South Dakota","12-08-2022","Hamlin 04","Commercial Turkey Meat Bird","58100"
"Prowers","Colorado","12-09-2022","Prowers 01","Commercial Upland Gamebird Producer","11000"
"Osage","Missouri","12-09-2022","Osage 01","Commercial Turkey Meat Bird","19700"
"Onslow","North Carolina","12-09-2022","Onslow 01","WOAH Non-Poultry","60"
"Clackamas","Oregon","12-09-2022","Clackamas 01","WOAH Non-Poultry","60"
"Polk","Oregon","12-09-2022","Polk 02","WOAH Non-Poultry","70"
"Buena Vista","Iowa","12-12-2022","Buena Vista 06","Commercial Turkey Meat Bird","51200"
"Cherokee","Iowa","12-12-2022","Cherokee 03","Commercial Turkey Meat Bird","50000"
"Ida","Iowa","12-12-2022","Ida 01","Commercial Turkey Meat Bird","90000"
"Sac","Iowa","12-12-2022","Sac 03","Commercial Turkey Meat Bird","50000"
"Wadena","Minnesota","12-12-2022","Wadena 01","Commercial Turkey Meat Bird","298100"
"Hanson","South Dakota","12-12-2022","Hanson 04","Commercial Turkey Meat Bird","23900"
"Daviess","Indiana","12-13-2022","Daviess 01","Commercial Turkey Meat Bird","11400"
"Columbia","Oregon","12-13-2022","Columbia 02","WOAH Non-Poultry","100"
"Linn","Oregon","12-13-2022","Linn 03","WOAH Non-Poultry","20"
"Redwood","Minnesota","12-14-2022","Redwood 01","WOAH Non-Poultry","40"
"Knox","Nebraska","12-14-2022","Knox 03","WOAH Poultry","160"
"Moody","South Dakota","12-14-2022","Moody 01","Commercial Table Egg Layer","1332100"
"Spink","South Dakota","12-14-2022","Spink 07","WOAH Poultry","280"
"Weakley","Tennessee","12-14-2022","Weakley 01","WOAH Poultry","37900"
"Franklin","Washington","12-14-2022","Franklin 01","Commercial Table Egg Layer","1015500"
"Polk","Oregon","12-15-2022","Polk 03","WOAH Non-Poultry","20"
"Butte","California","12-16-2022","Butte 02","WOAH Non-Poultry","20"
"Weld","Colorado","12-16-2022","Weld 06","Commercial Table Egg Layer","1291000"
"Duval","Florida","12-16-2022","Duval 02","WOAH Non-Poultry","10"
"Flathead","Montana","12-16-2022","Flathead 02","WOAH Non-Poultry","0"
"Mendocino","California","12-19-2022","Mendocino 01","WOAH Non-Poultry","20"
"Weld","Colorado","12-20-2022","Weld 07","Commercial Table Egg Layer","239700"
"Gem","Idaho","12-20-2022","Gem 01","WOAH Non-Poultry","80"
"Hanson","South Dakota","12-20-2022","Hanson 05","Commercial Turkey Meat Bird","31800"
"St. Clair","Illinois","12-21-2022","St. Clair 01","WOAH Non-Poultry","60"
"Bates","Missouri","12-21-2022","Bates 02","WOAH Non-Poultry","30"
"Umatilla","Oregon","12-21-2022","Umatilla 01","WOAH Non-Poultry","10"
"Weakley","Tennessee","12-21-2022","Weakley 02","WOAH Poultry","28800"
"Glenn","California","12-22-2022","Glenn 01","Commercial Upland Gamebird Producer","32000"
"Elk","Kansas","12-28-2022","Elk 01","WOAH Non-Poultry","30"
"Weakley","Tennessee","12-28-2022","Weakley 03","Commercial Broiler Breeder","43600"
"Weakley","Tennessee","12-28-2022","Weakley 04","Commercial Broiler Breeder","19000"
"Pierce","Washington","12-29-2022","Pierce 06","WOAH Non-Poultry","40"
"Sanilac","Michigan","12-30-2022","Sanilac 01","WOAH Non-Poultry","30"
"Snohomish","Washington","12-30-2022","Snohomish 08","WOAH Poultry","180"
"Anderson","Kansas","01-04-2023","Anderson 01","Commercial Upland Gamebird Producer","8900"
"Johnson","Missouri","01-04-2023","Johnson 01","WOAH Non-Poultry","30"
"Josephine","Oregon","01-04-2023","Josephine 01","WOAH Non-Poultry","30"
"Codington","South Dakota","01-05-2023","Codington 02","WOAH Poultry","140"
"Weld","Colorado","01-06-2023","Weld 08","WOAH Non-Poultry","40"
"Thurston","Washington","01-06-2023","Thurston 02","WOAH Non-Poultry","120"
"San Joaquin","California","01-09-2023","San Joaquin 01","WOAH Non-Poultry","10"
"Sonoma","California","01-09-2023","Sonoma 01","WOAH Non-Poultry","20"
"Sonoma","California","01-09-2023","Sonoma 02","WOAH Non-Poultry","6"
"Scotts Bluff","Nebraska","01-09-2023","Scotts Bluff 02","WOAH Non-Poultry","7"
"Cascade","Montana","01-10-2023","Cascade 02","WOAH Non-Poultry","10"
"Douglas","Oregon","01-11-2023","Douglas 02","WOAH Non-Poultry","1"
"Tehama","California","01-12-2023","Tehama 01","WOAH Poultry","23700"
"Mitchell","Kansas","01-17-2023","Mitchell 02","Commercial Upland Gamebird Producer","6900"
"Licking","Ohio","01-18-2023","Licking 01","WOAH Non-Poultry","30"
"Lampasas","Texas","01-18-2023","Lampasas 01","WOAH Poultry","70"
"El Dorado","California","01-19-2023","El Dorado 02","WOAH Non-Poultry","20"
"Rockingham","Virginia","01-19-2023","Rockingham 01","Commercial Turkey Meat Bird","25300"
"Snohomish","Washington","01-19-2023","Snohomish 09","WOAH Non-Poultry","20"
"Larimer","Colorado","01-20-2023","Larimer 03","WOAH Non-Poultry","70"
"Weakley","Tennessee","01-20-2023","Weakley 05","Commercial Broiler Production","267800"
"Belknap","New Hampshire","01-23-2023","Belknap 01","WOAH Non-Poultry","40"
"Buena Vista","Iowa","01-25-2023","Buena Vista 07","Commercial Turkey Meat Bird","27700"
"Suffolk","New York","01-25-2023","Suffolk 04","WOAH Non-Poultry","10"
"Rowan","North Carolina","01-25-2023","Rowan 01","WOAH Non-Poultry","2"
"Polk","Oregon","01-25-2023","Polk 04","WOAH Non-Poultry","20"
"Rockingham","Virginia","01-25-2023","Rockingham 02","Commercial Turkey Meat Bird","11100"
"Hancock","Maine","01-27-2023","Hancock 01","WOAH Non-Poultry","40"
"Lancaster","Pennsylvania","02-01-2023","Lancaster 10","Commercial Duck Meat Bird","32800"
"Lancaster","Pennsylvania","02-01-2023","Lancaster 11","WOAH Poultry","2700"
"Merced","California","02-06-2023","Merced 01","Commercial Duck Breeder","29100"
"Placer","California","02-06-2023","Placer 01","WOAH Non-Poultry","30"
"San Joaquin","California","02-06-2023","San Joaquin 02","WOAH Non-Poultry","8"
"Hancock","Maine","02-06-2023","Hancock 02","WOAH Non-Poultry","30"
"Kennebec","Maine","02-06-2023","Kennebec 01","WOAH Non-Poultry","40"
"Park","Wyoming","02-06-2023","Park 03","WOAH Non-Poultry","10"
"Leake","Mississippi","02-07-2023","Leake 01","Commercial Broiler Production","89800"
"Allegheny","Pennsylvania","02-07-2023","Allegheny 02","WOAH Non-Poultry","20"
"Mitchell","Kansas","02-08-2023","Mitchell 03","Commercial Upland Gamebird Producer","17000"
"Lancaster","Pennsylvania","02-08-2023","Lancaster 12","WOAH Poultry","20300"
"Doniphan","Kansas","02-13-2023","Doniphan 01","WOAH Non-Poultry","30"
"Carroll","Missouri","02-13-2023","Carroll 01","WOAH Non-Poultry","9"
"Hillsborough","Florida","02-14-2023","Hillsborough 03","WOAH Non-Poultry","10"
"Benton","Washington","02-14-2023","Benton 01","WOAH Non-Poultry","60"
"Columbia","New York","02-15-2023","Columbia 01","WOAH Poultry","250"
"San Joaquin","California","02-17-2023","San Joaquin 03","WOAH Non-Poultry","160"
"Copiah","Mississippi","02-17-2023","Copiah 01","WOAH Poultry","50"
"Tioga","Pennsylvania","02-17-2023","Tioga 01","WOAH Non-Poultry","50"
"Lincoln","Nebraska","02-21-2023","Lincoln 01","WOAH Poultry","420"
"Lancaster","Pennsylvania","02-21-2023","Lancaster 13","Commercial Broiler Production","97700"
"Lancaster","Pennsylvania","02-22-2023","Lancaster 14","WOAH Poultry","4200"
"Moffat","Colorado","02-23-2023","Moffat 01","WOAH Non-Poultry","40"
"Lancaster","Pennsylvania","02-23-2023","Lancaster 15","WOAH Poultry","2000"
"Alexandria City","Virginia","02-23-2023","Alexandria 01","Live Bird Market","800"
"Wayne","Illinois","02-24-2023","Wayne 01","Commercial Turkey Meat Bird","18200"
"Chester","Pennsylvania","02-24-2023","Chester 01","WOAH Poultry","3400"
"Lancaster","Pennsylvania","02-24-2023","Lancaster 16","WOAH Poultry","4000"
"Lancaster","Pennsylvania","02-27-2023","Lancaster 17","WOAH Poultry","4400"
"Miami-dade","Florida","02-28-2023","Miami-Dade 01","Live Bird Market","510"
"Douglas","Nevada","03-03-2023","Douglas 01","WOAH Non-Poultry","20"
"Chester","Pennsylvania","03-03-2023","Chester 03","WOAH Poultry","5200"
"Chester","Pennsylvania","03-04-2023","Chester 02","WOAH Poultry","6900"
"Lancaster","Pennsylvania","03-04-2023","Lancaster 20","Commercial Duck Breeder","11300"
"Lancaster","Pennsylvania","03-04-2023","Lancaster 18","Commercial Turkey Meat Bird","19600"
"Lancaster","Pennsylvania","03-04-2023","Lancaster 19","Commercial Turkey Meat Bird","26600"
"Northumberland","Pennsylvania","03-04-2023","Northumberland 01","WOAH Poultry","680"
"Bingham","Idaho","03-06-2023","Bingham 01","WOAH Non-Poultry","10"
"Bucks","Pennsylvania","03-06-2023","Bucks 01","WOAH Poultry","1700"
"Lancaster","Pennsylvania","03-06-2023","Lancaster 21","WOAH Poultry","6000"
"Lancaster","Pennsylvania","03-06-2023","Lancaster 22","WOAH Poultry","1800"
"Lancaster","Pennsylvania","03-06-2023","Lancaster 23","WOAH Poultry","310"
"Rockingham","Virginia","03-07-2023","Rockingham 03","WOAH Non-Poultry","250"
"Lancaster","Pennsylvania","03-13-2023","Lancaster 24","WOAH Poultry","6000"
"Eaton","Michigan","03-14-2023","Eaton 01","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","03-14-2023","Lancaster 25","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-14-2023","Lancaster 26","WOAH Poultry","3900"
"Lancaster","Pennsylvania","03-14-2023","Lancaster 27","WOAH Poultry","3000"
"Lancaster","Pennsylvania","03-14-2023","Lancaster 28","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-14-2023","Lancaster 29","WOAH Poultry","3000"
"Chickasaw","Iowa","03-15-2023","Chickasaw 01","WOAH Non-Poultry","50"
"Mifflin","Pennsylvania","03-15-2023","Mifflin 01","WOAH Non-Poultry","60"
"Monroe","Mississippi","03-16-2023","Monroe 01","WOAH Non-Poultry","30"
"Maries","Missouri","03-16-2023","Maries 01","WOAH Non-Poultry","10"
"Chester","Pennsylvania","03-16-2023","Chester 04","Commercial Turkey Meat Bird","11800"
"Lancaster","Pennsylvania","03-16-2023","Lancaster 30","WOAH Poultry","1600"
"Lancaster","Pennsylvania","03-16-2023","Lancaster 31","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-17-2023","Lancaster 32","WOAH Poultry","2500"
"Hillsborough","Florida","03-21-2023","Hillsborough 04","Live Bird Market","340"
"Washington","New York","03-21-2023","Washington 01","WOAH Non-Poultry","50"
"Queens","New York","03-22-2023","Queens 02","Live Bird Market","140"
"Tompkins","New York","03-22-2023","Tompkins 01","WOAH Poultry","6500"
"Klamath","Oregon","03-22-2023","Klamath 01","WOAH Non-Poultry","30"
"Spink","South Dakota","03-22-2023","Spink 08","Commercial Upland Gamebird Producer","570"
"Hale","Texas","03-22-2023","Hale 01","WOAH Non-Poultry","20"
"Lapeer","Michigan","03-23-2023","Lapeer 05","WOAH Poultry","950"
"Arapahoe","Colorado","03-24-2023","Arapahoe 01","WOAH Non-Poultry","10"
"Ellsworth","Kansas","03-24-2023","Ellsworth 01","WOAH Non-Poultry","50"
"Yuma","Colorado","03-28-2023","Yuma 01","WOAH Poultry","310"
"Umatilla","Oregon","03-30-2023","Umatilla 02","WOAH Non-Poultry","50"
"Le Sueur","Minnesota","04-03-2023","Le Sueur 04","WOAH Non-Poultry","100"
"Queens","New York","04-05-2023","Queens 03","Live Bird Market","1300"
"Mitchell","Kansas","04-10-2023","Mitchell 04","WOAH Non-Poultry","30"
"Modoc","California","04-12-2023","Modoc 01","WOAH Non-Poultry","60"
"Pueblo","Colorado","04-12-2023","Pueblo 01","WOAH Non-Poultry","30"
"Putnam","New York","04-12-2023","Putnam 01","WOAH Poultry","200"
"Rosebud","Montana","04-14-2023","Rosebud 01","WOAH Non-Poultry","0"
"Sheridan","Nebraska","04-14-2023","Sheridan 01","WOAH Non-Poultry","10"
"Moffat","Colorado","04-17-2023","Moffat 02","WOAH Non-Poultry","80"
"Bonneville","Idaho","04-17-2023","Bonneville 01","WOAH Non-Poultry","40"
"Putnam","New York","04-17-2023","Putnam 02","WOAH Poultry","110"
"Kings","New York","04-18-2023","Kings 02","Live Bird Market","1400"
"Dickey","North Dakota","04-19-2023","Dickey 03","Commercial Turkey Meat Bird","58500"
"Beadle","South Dakota","04-19-2023","Beadle 09","Commercial Turkey Meat Bird","75800"
"Routt","Colorado","04-24-2023","Routt 01","WOAH Non-Poultry","20"
"Posey","Indiana","05-05-2023","Posey 01","WOAH Non-Poultry","20"
"Nobles","Minnesota","05-11-2023","Nobles 01","WOAH Non-Poultry","100"
"Phelps","Missouri","05-18-2023","Phelps 01","WOAH Non-Poultry","80"
"Rowan","North Carolina","05-18-2023","Rowan 02","WOAH Non-Poultry","30"
"Kings","New York","07-25-2023","Kings 03","Live Bird Market","570"
"Kings","New York","07-28-2023","Kings 04","Live Bird Market","490"
"Kings","New York","08-03-2023","Kings 05","Live Bird Market","800"
"Union","New Jersey","09-15-2023","Union 01","Live Bird Market","520"
"Canyon","Idaho","10-03-2023","Canyon 11","WOAH Non-Poultry","70"
"Jerauld","South Dakota","10-04-2023","Jerauld 02","Commercial Turkey Meat Bird","47300"
"Sanpete","Utah","10-06-2023","Sanpete 19","Commercial Turkey Meat Bird","134200"
"Sanpete","Utah","10-06-2023","Sanpete 20","Commercial Turkey Meat Bird","7600"
"Glacier","Montana","10-10-2023","Glacier 03","WOAH Poultry","77100"
"Meeker","Minnesota","10-11-2023","Meeker 09","Commercial Turkey Meat Bird","115000"
"Weld","Colorado","10-12-2023","Weld 09","WOAH Non-Poultry","30"
"Williams","North Dakota","10-12-2023","Williams 01","WOAH Non-Poultry","10"
"Meeker","Minnesota","10-13-2023","Meeker 10","Commercial Turkey Meat Bird","71000"
"Flathead","Montana","10-13-2023","Flathead 03","WOAH Non-Poultry","8"
"Golden Valley","North Dakota","10-13-2023","Golden Valley 01","WOAH Non-Poultry","90"
"Carter","Oklahoma","10-16-2023","Carter 01","WOAH Non-Poultry","80"
"Becker","Minnesota","10-17-2023","Becker 04","Commercial Turkey Breeder Toms","2700"
"Faulk","South Dakota","10-17-2023","Faulk 03","Commercial Turkey Meat Bird","49700"
"Mcpherson","South Dakota","10-17-2023","McPherson 06","Commercial Turkey Meat Bird","65000"
"King","Washington","10-17-2023","King 08","WOAH Non-Poultry","10"
"Blue Earth","Minnesota","10-18-2023","Blue Earth 03","Commercial Turkey Meat Bird","11500"
"Redwood","Minnesota","10-18-2023","Redwood 02","Commercial Turkey Meat Bird","8900"
"Becker","Minnesota","10-19-2023","Becker 05","Commercial Breeder Operation","20200"
"Park","Montana","10-19-2023","Park 01","WOAH Non-Poultry","3"
"Spink","South Dakota","10-19-2023","Spink 09","Commercial Turkey Meat Bird","34000"
"Union","Oregon","10-20-2023","Union 01","WOAH Poultry","100"
"Buena Vista","Iowa","10-23-2023","Buena Vista 08","Commercial Turkey Meat Bird","49100"
"Guthrie","Iowa","10-24-2023","Guthrie 02","WOAH Non-Poultry","50"
"Pocahontas","Iowa","10-24-2023","Pocahontas 01","Commercial Turkey Meat Bird","50000"
"Blue Earth","Minnesota","10-24-2023","Blue Earth 04","Commercial Turkey Meat Bird","11900"
"Kandiyohi","Minnesota","10-24-2023","Kandiyohi 10","Commercial Turkey Meat Bird","53700"
"Brown","Minnesota","10-25-2023","Brown 03","WOAH Non-Poultry","20"
"Meeker","Minnesota","10-25-2023","Meeker 11","Commercial Turkey Meat Bird","33000"
"Pine","Minnesota","10-25-2023","Pine 01","WOAH Non-Poultry","30"
"Union","Oregon","10-25-2023","Union 02","WOAH Non-Poultry","30"
"Beadle","South Dakota","10-25-2023","Beadle 10","Commercial Turkey Meat Bird","51100"
"Clark","South Dakota","10-25-2023","Clark 08","Commercial Turkey Meat Bird","31100"
"Hanson","South Dakota","10-25-2023","Hanson 06","Commercial Turkey Meat Bird","13400"
"Merced","California","10-26-2023","Merced 02","Commercial Turkey Meat Bird","31600"
"Chilton","Alabama","10-27-2023","Chilton 01","Commercial Upland Gamebird Producer","306500"
"Kittitas","Washington","10-27-2023","Kittitas 01","WOAH Poultry","70"
"Matanuska Susitna","Alaska","10-28-2023","Matanuska-Susitna 06","WOAH Non-Poultry","30"
"Matanuska Susitna","Alaska","10-28-2023","Matanuska-Susitna 07","WOAH Non-Poultry","50"
"Madison","Arkansas","10-31-2023","Madison 02","Commercial Broiler Breeder Pullets","31600"
"Meeker","Minnesota","10-31-2023","Meeker 12","Commercial Turkey Meat Bird","32100"
"Wagoner","Oklahoma","10-31-2023","Wagoner 01","WOAH Non-Poultry","50"
"Beadle","South Dakota","10-31-2023","Beadle 11","Commercial Turkey Meat Bird","29700"
"Lincoln","Tennessee","10-31-2023","Lincoln 01","WOAH Non-Poultry","100"
"Buena Vista","Iowa","11-01-2023","Buena Vista 09","Commercial Turkey Meat Bird","30000"
"Marshall","Alabama","11-02-2023","Marshall 01","Commercial Broiler Breeder Pullets","47900"
"Grady","Oklahoma","11-02-2023","Grady 01","WOAH Non-Poultry","120"
"Clay","Iowa","11-03-2023","Clay 01","WOAH Poultry","7700"
"Clay","Iowa","11-03-2023","Clay 03","WOAH Poultry","8300"
"Wright","Minnesota","11-03-2023","Wright 01","Commercial Table Egg Layer","940000"
"Mcpherson","South Dakota","11-03-2023","McPherson 07","Commercial Turkey Breeder Hens","26800"
"Clay","Iowa","11-06-2023","Clay 02","WOAH Poultry","1700"
"Hamilton","Iowa","11-06-2023","Hamilton 03","Commercial Breeder (Multiple Bird Species)","15000"
"Benton","Missouri","11-06-2023","Benton 01","Commercial Broiler Breeder","16600"
"Stearns","Minnesota","11-07-2023","Stearns 14","Commercial Turkey Meat Bird","70900"
"Matanuska Susitna","Alaska","11-08-2023","Matanuska-Susitna 08","WOAH Non-Poultry","40"
"Kossuth","Iowa","11-08-2023","Kossuth 02","WOAH Poultry","8200"
"Charles Mix","South Dakota","11-08-2023","Charles Mix 07","Commercial Turkey Meat Bird","74100"
"Clark","South Dakota","11-08-2023","Clark 09","Commercial Upland Gamebird Producer","8500"
"Utah","Utah","11-08-2023","Utah 03","WOAH Non-Poultry","60"
"Redwood","Minnesota","11-09-2023","Redwood 04","Commercial Turkey Meat Bird","18500"
"Steele","Minnesota","11-09-2023","Steele 01","Commercial Turkey Meat Bird","46900"
"Sweet Grass","Montana","11-09-2023","Sweet Grass 01","WOAH Non-Poultry","3"
"Wheatland","Montana","11-09-2023","Wheatland 01","WOAH Poultry","4500"
"Mcpherson","South Dakota","11-09-2023","McPherson 08","Commercial Turkey Meat Bird","58400"
"Roberts","South Dakota","11-09-2023","Roberts 02","Commercial Turkey Meat Bird","51200"
"Montrose","Colorado","11-13-2023","Montrose 02","WOAH Non-Poultry","50"
"Bonneville","Idaho","11-13-2023","Bonneville 02","WOAH Non-Poultry","50"
"Mcintosh","North Dakota","11-13-2023","McIntosh 01","WOAH Non-Poultry","50"
"Cerro Gordo","Iowa","11-14-2023","Cerro Gordo 01","WOAH Non-Poultry","80"
"Jones","Iowa","11-14-2023","Jones 01","WOAH Non-Poultry","20"
"Kossuth","Iowa","11-14-2023","Kossuth 03","WOAH Poultry","13000"
"Taylor","Iowa","11-14-2023","Taylor 02","Commercial Table Egg Layer","1121100"
"Kandiyohi","Minnesota","11-14-2023","Kandiyohi 11","Commercial Turkey Meat Bird","35600"
"Redwood","Minnesota","11-14-2023","Redwood 05","Commercial Turkey Meat Bird","18700"
"Jasper","Missouri","11-14-2023","Jasper 03","Commercial Turkey Meat Bird","29300"
"Missoula","Montana","11-14-2023","Missoula 02","WOAH Non-Poultry","4"
"Deschutes","Oregon","11-14-2023","Deschutes 08","WOAH Non-Poultry","30"
"Marion","Oregon","11-14-2023","Marion 01","WOAH Non-Poultry","5"
"Ellis","Texas","11-14-2023","Ellis 01","WOAH Non-Poultry","50"
"Cass","Michigan","11-15-2023","Cass 01","WOAH Non-Poultry","20"
"Lamoure","North Dakota","11-15-2023","LaMoure 04","Commercial Turkey Meat Bird","25100"
"Mcintosh","North Dakota","11-15-2023","McIntosh 02","WOAH Poultry","100"
"Edmunds","South Dakota","11-15-2023","Edmunds 06","Commercial Turkey Breeder Replacement Hens","24500"
"Duval","Florida","11-16-2023","Duval 03","WOAH Non-Poultry","50"
"Benton","Iowa","11-16-2023","Benton 01","WOAH Non-Poultry","90"
"Stearns","Minnesota","11-16-2023","Stearns 15","Commercial Turkey Meat Bird","43100"
"Linn","Oregon","11-16-2023","Linn 04","Commercial Broiler Production","630700"
"Marion","Oregon","11-16-2023","Marion 02","Commercial Broiler Production","123500"
"Fall River","South Dakota","11-17-2023","Fall River 01","WOAH Non-Poultry","80"
"Fresno","California","11-20-2023","Fresno 08","Commercial Duck Breeder","23400"
"Swift","Minnesota","11-20-2023","Swift 07","Commercial Turkey Meat Bird","134300"
"San Juan","New Mexico","11-20-2023","San Juan 01","WOAH Non-Poultry","20"
"Day","South Dakota","11-20-2023","Day 02","WOAH Poultry","60"
"Edmunds","South Dakota","11-20-2023","Edmunds 08","Commercial Turkey Breeder Hens","19200"
"Edmunds","South Dakota","11-20-2023","Edmunds 07","Commercial Turkey Breeder Replacement Hens","30100"
"Edmunds","South Dakota","11-20-2023","Edmunds 09","Commercial Turkey Meat Bird","33400"
"Walworth","South Dakota","11-20-2023","Walworth 01","WOAH Non-Poultry","0"
"Taylor","Wisconsin","11-20-2023","Taylor 01","WOAH Non-Poultry","8"
"Broward","Florida","11-21-2023","Broward 06","WOAH Non-Poultry","5"
"Sumter","Georgia","11-21-2023","Sumter 01","Commercial Raised for Release Waterfowl","30000"
"Caroline","Maryland","11-21-2023","Caroline 01","Commercial Broiler Production","192900"
"Big Stone","Minnesota","11-21-2023","Big Stone 02","Commercial Turkey Meat Bird","78500"
"Brown","Minnesota","11-21-2023","Brown 04","Commercial Turkey Breeder Hens","6400"
"Kandiyohi","Minnesota","11-21-2023","Kandiyohi 12","Commercial Breeder Operation","8400"
"Union","Ohio","11-21-2023","Union 01","Commercial Table Egg Layer","1348900"
"Beadle","South Dakota","11-21-2023","Beadle 12","Commercial Turkey Meat Bird","78200"
"Clark","South Dakota","11-21-2023","Clark 10","Commercial Turkey Meat Bird","23600"
"Clark","South Dakota","11-21-2023","Clark 11","Commercial Turkey Meat Bird","57400"
"Kingsbury","South Dakota","11-21-2023","Kingsbury 05","Commercial Turkey Meat Bird","28800"
"Grimes","Texas","11-21-2023","Grimes 01","WOAH Non-Poultry","60"
"Otter Tail","Minnesota","11-22-2023","Otter Tail 08","Commercial Turkey Meat Bird","28000"
"Stearns","Minnesota","11-22-2023","Stearns 16","Commercial Turkey Meat Bird","34200"
"Brule","South Dakota","11-22-2023","Brule 04","Commercial Turkey Meat Bird","45100"
"Trempealeau","Wisconsin","11-22-2023","Trempealeau 01","Commercial Turkey Meat Bird","51300"
"Freeborn","Minnesota","11-24-2023","Freeborn 02","WOAH Non-Poultry","8"
"Kandiyohi","Minnesota","11-24-2023","Kandiyohi 13","Commercial Turkey Breeder Hens","7300"
"Otter Tail","Minnesota","11-24-2023","Otter Tail 09","Commercial Breeder Operation","19400"
"Clackamas","Oregon","11-24-2023","Clackamas 02","WOAH Non-Poultry","10"
"Sonoma","California","11-27-2023","Sonoma 03","Commercial Duck Breeder","205500"
"Brown","Minnesota","11-27-2023","Brown 05","Commercial Turkey Breeder Hens","7800"
"Sioux","Iowa","11-28-2023","Sioux 01","Commercial Table Egg Layer","1616300"
"Colfax","Nebraska","11-28-2023","Colfax 01","WOAH Non-Poultry","20"
"Dickey","North Dakota","11-28-2023","Dickey 04","Commercial Turkey Meat Bird","60300"
"Emmons","North Dakota","11-28-2023","Emmons 01","WOAH Non-Poultry","60"
"Mcpherson","South Dakota","11-28-2023","McPherson 09","Commercial Turkey Meat Bird","61800"
"Yankton","South Dakota","11-28-2023","Yankton 02","Commercial Turkey Meat Bird","49000"
"Pierce","Washington","11-28-2023","Pierce 07","WOAH Non-Poultry","540"
"Trempealeau","Wisconsin","11-28-2023","Trempealeau 02","Commercial Turkey Meat Bird","23500"
"Trempealeau","Wisconsin","11-28-2023","Trempealeau 03","Commercial Turkey Meat Bird","48700"
"Carroll","Arkansas","11-29-2023","Carroll 01","Commercial Broiler Production","81200"
"Morgan","Colorado","11-29-2023","Morgan 01","WOAH Non-Poultry","60"
"Woodbury","Iowa","11-29-2023","Woodbury 01","WOAH Non-Poultry","10"
"Becker","Minnesota","11-29-2023","Becker 06","Commercial Turkey Breeder Hens","23200"
"Douglas","Minnesota","11-29-2023","Douglas 01","Commercial Turkey Meat Bird","13500"
"Otter Tail","Minnesota","11-29-2023","Otter Tail 10","Commercial Turkey Meat Bird","18800"
"Dickey","North Dakota","11-29-2023","Dickey 05","WOAH Poultry","130"
"San Benito","California","11-30-2023","San Benito 01","Commercial Duck Breeder","5000"
"Sonoma","California","11-30-2023","Sonoma 04","Commercial Table Egg Layer","82500"
"Bent","Colorado","11-30-2023","Bent 01","WOAH Poultry","4100"
"Lewis And Clark","Montana","11-30-2023","Lewis and Clark 01","WOAH Non-Poultry","6"
"Minnehaha","South Dakota","11-30-2023","Minnehaha 01","WOAH Non-Poultry","80"
"Canyon","Idaho","12-01-2023","Canyon 12","WOAH Non-Poultry","20"
"Woodbury","Iowa","12-01-2023","Woodbury 02","WOAH Non-Poultry","40"
"Bay","Michigan","12-01-2023","Bay 01","WOAH Non-Poultry","60"
"Darke","Ohio","12-01-2023","Darke 01","Commercial Turkey Meat Bird","33000"
"Johnson","Arkansas","12-04-2023","Johnson 01","Commercial Broiler Production","109000"
"Pottawatomie","Kansas","12-04-2023","Pottawatomie 01","WOAH Non-Poultry","30"
"Mcpherson","South Dakota","12-04-2023","McPherson 10","Commercial Turkey Meat Bird","40800"
"Barron","Wisconsin","12-04-2023","Barron 08","Commercial Turkey Meat Bird","113800"
"Stanislaus","California","12-05-2023","Stanislaus 03","Commercial Broiler Production","254400"
"Stanislaus","California","12-05-2023","Stanislaus 04","Commercial Broiler Production","239900"
"Shawnee","Kansas","12-05-2023","Shawnee 02","WOAH Non-Poultry","70"
"Otter Tail","Minnesota","12-05-2023","Otter Tail 11","Commercial Turkey Meat Bird","26300"
"Kingsbury","South Dakota","12-05-2023","Kingsbury 06","WOAH Non-Poultry","370"
