"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Dixon","Nebraska","04-12-2022","Dixon 01","Commercial Table Egg Layer","1746900"
"Wayne","North Carolina","04-12-2022","Wayne 06","Commercial Broiler Production","89700"
"Sheridan","North Dakota","04-12-2022","Sheridan 01","WOAH Non-Poultry","30"
"Barron","Wisconsin","04-12-2022","Barron 01","Commercial Turkey Meat Bird","46500"
"Mcpherson","Kansas","04-13-2022","McPherson 01","Commercial Turkey Breeder Hens","6900"
"Menominee","Michigan","04-13-2022","Menominee 02","WOAH Poultry","350"
"Benton","Minnesota","04-13-2022","Benton 02","WOAH Non-Poultry","7"
"Blue Earth","Minnesota","04-13-2022","Blue Earth 01","Commercial Turkey Meat Bird","22700"
"Otter Tail","Minnesota","04-13-2022","Otter Tail 02","Commercial Turkey Meat Bird","35700"
"Waseca","Minnesota","04-13-2022","Waseca 03","Commercial Turkey Meat Bird","20300"
"Barnes","North Dakota","04-13-2022","Barnes 01","WOAH Poultry","90"
"Deuel","South Dakota","04-13-2022","Deuel 01","Commercial Upland Gamebird Producer","1400"
"Caribou","Idaho","04-14-2022","Caribou 01","WOAH Non-Poultry","7"
"Gooding","Idaho","04-14-2022","Gooding 01","WOAH Poultry","20"
"Elkhart","Indiana","04-14-2022","Elkhart 02","Commercial Duck Breeder","6400"
"Blue Earth","Minnesota","04-14-2022","Blue Earth 02","Commercial Turkey Meat Bird","26400"
"Meeker","Minnesota","04-14-2022","Meeker 03","Commercial Turkey Meat Bird","73200"
"Lamoure","North Dakota","04-14-2022","LaMoure 03","WOAH Non-Poultry","10"
"Columbia","Wisconsin","04-14-2022","Columbia 01","WOAH Non-Poultry","70"
"Sheboygan","Wisconsin","04-14-2022","Sheboygan 01","WOAH Non-Poultry","20"
"Livingston","Michigan","04-15-2022","Livingston 01","WOAH Non-Poultry","20"
"Macomb","Michigan","04-15-2022","Macomb 02","WOAH Non-Poultry","40"
"Lancaster","Pennsylvania","04-15-2022","Lancaster 01","Commercial Table Egg Layer","1380500"
"Utah","Utah","04-15-2022","Utah 01","WOAH Non-Poultry","7"
"Polk","Wisconsin","04-15-2022","Polk 01","Commercial Turkey Meat Bird","22000"
"Menominee","Michigan","04-16-2022","Menominee 03","WOAH Non-Poultry","30"
"La Plata","Colorado","04-19-2022","La Plata 01","WOAH Poultry","40"
"Montrose","Colorado","04-19-2022","Montrose 01","Commercial Broiler Breeder","58000"
"Gooding","Idaho","04-19-2022","Gooding 02","WOAH Non-Poultry","80"
"Kandiyohi","Minnesota","04-19-2022","Kandiyohi 07","Commercial Turkey Meat Bird","38700"
"Kandiyohi","Minnesota","04-19-2022","Kandiyohi 08","Commercial Turkey Meat Bird","35700"
"Meeker","Minnesota","04-19-2022","Meeker 04","Commercial Turkey Meat Bird","53000"
"Morrison","Minnesota","04-19-2022","Morrison 08","Commercial Turkey Meat Bird","58100"
"Morrison","Minnesota","04-19-2022","Morrison 09","Commercial Turkey Meat Bird","17600"
"Morrison","Minnesota","04-19-2022","Morrison 10","Commercial Turkey Meat Bird","47700"
